target_id	length	eff_length	est_counts	tpm
Solyc09g007080.3.1	5868	5815.96	21.1575	0.920108
Solyc11g066500.2.1	3576	3523.96	111	7.96688
Solyc01g102637.1.1	282	229.958	0	0
Solyc03g060510.3.1	1738	1685.96	130	19.5026
Solyc11g066460.1.1	651	598.958	27	11.4015
Solyc06g082800.3.1	1406	1353.96	97	18.1202
Solyc01g105290.3.1	1594	1541.96	284	46.5845
Solyc08g062965.1.1	528	475.958	0	0
Solyc03g058900.2.1	501	448.958	0	0
Solyc11g011542.1.1	477	424.958	0	0
Solyc03g007860.1.1	558	505.958	56	27.9943
Solyc06g048620.3.1	4542	4489.96	52	2.92925
Solyc03g006490.3.1	1155	1102.96	90	20.6386
Solyc11g017373.1.1	738	685.958	0	0
Solyc09g060100.3.1	5908	5855.96	44.4444	1.91962
Solyc03g006950.2.1	2238	2185.96	0	0
Solyc03g114300.3.1	2676	2623.96	40	3.85566
Solyc02g011755.1.1	321	268.958	0	0
Solyc11g010105.1.1	741	688.958	0	0
Solyc09g092080.3.1	862	809.958	140.353	43.8285
Solyc05g055160.3.1	2243	2190.96	1764	203.639
Solyc06g053780.3.1	2021	1968.96	52	6.67979
Solyc07g055920.3.1	1156	1103.96	0	0
Solyc02g062040.3.1	1448	1395.96	58	10.5088
Solyc05g046390.3.1	754	701.958	1361	490.392
Solyc09g042300.2.1	2512	2459.96	0	0
Solyc03g044600.2.1	1206	1153.96	167.773	36.7729
Solyc11g067270.1.1	1293	1240.96	2	0.407633
Solyc09g083370.3.1	1089	1036.96	103.11	25.1499
Solyc09g018235.1.1	789	736.958	0	0
Solyc03g115845.1.1	300	247.958	0	0
Solyc07g065280.3.1	693	640.958	575	226.9
Solyc10g018885.1.1	357	304.958	1	0.829385
Solyc10g051050.2.1	2773	2720.96	3	0.278866
Solyc03g007680.3.1	1191	1138.96	140	31.0897
Solyc03g115800.1.1	1281	1228.96	0	0
Solyc05g005910.3.1	1815	1762.96	0	0
Solyc07g032300.1.1	213	160.958	0	0
Solyc01g091860.3.1	3645	3592.96	29.676	2.08905
Solyc12g098660.2.1	1485	1432.96	60	10.5904
Solyc04g057890.3.1	4289	4236.96	235.561	14.062
Solyc06g008960.3.1	4420	4367.96	40	2.31621
Solyc02g030520.1.1	69	29.752	0	0
Solyc10g044967.1.1	720	667.958	1	0.378658
Solyc07g026705.1.1	641	588.958	0	0
Solyc07g039384.1.1	453	400.958	0	0
Solyc08g005440.3.1	3192	3139.96	47	3.78591
Solyc01g005610.3.1	1068	1015.96	2	0.497909
Solyc04g050345.1.1	390	337.958	0	0
Solyc10g086290.2.1	1363	1310.96	0	0
Solyc12g035860.1.1	315	262.958	0	0
Solyc05g016473.1.1	3230	3177.96	0	0
Solyc02g088954.1.1	675	622.958	0	0
Solyc08g082330.3.1	484	431.958	11	6.44091
Solyc05g026050.3.1	1505	1452.96	77	13.404
Solyc10g050630.1.1	315	262.958	0	0
Solyc07g039540.1.1	246	193.958	0	0
Solyc01g096185.1.1	435	382.958	0	0
Solyc07g021740.2.1	811	758.958	0	0
Solyc02g062375.1.1	3217	3164.96	106	8.47099
Solyc12g009620.2.1	1820	1767.96	139	19.8856
Solyc05g012170.2.1	783	730.958	0	0
Solyc01g103803.1.1	699	646.958	0	0
Solyc12g087900.2.1	1377	1324.96	0	0
Solyc09g090660.3.1	2092	2039.96	214.751	26.6262
Solyc02g081700.1.1	747	694.958	286	104.089
Solyc08g079580.1.1	447	394.958	0	0
Solyc04g057880.3.1	6172	6119.96	6.43872	0.266101
Solyc05g021090.3.1	1542	1489.96	46.0753	7.8215
Solyc06g082000.3.1	2271	2218.96	9	1.02586
Solyc11g045540.1.1	447	394.958	0	0
Solyc10g084360.1.1	165	112.965	0	0
Solyc03g062745.1.1	441	388.958	0.673419	0.437904
Solyc04g050550.2.1	2358	2305.96	2	0.219369
Solyc05g024454.1.1	521	468.958	0	0
Solyc09g016957.1.1	339	286.958	0	0
Solyc09g060170.1.1	1035	982.958	0	0
Solyc05g055790.3.1	2662	2609.96	8.01453	0.776677
Solyc01g096255.1.1	405	352.958	0	0
Solyc05g054170.3.1	4313	4260.96	86	5.1049
Solyc01g005730.3.1	3708	3655.96	328.108	22.6992
Solyc10g018355.1.1	780	727.958	0	0
Solyc08g076830.1.1	1026	973.958	2	0.519381
Solyc10g045040.1.1	225	172.958	0	0
Solyc03g081203.1.1	183	130.958	0	0
Solyc02g085700.2.1	2892	2839.96	122	10.8654
Solyc12g008580.2.1	2991	2938.96	74	6.36846
Solyc08g014290.1.1	1188	1135.96	17	3.78515
Solyc01g102970.3.1	2799	2746.96	74	6.81359
Solyc08g044540.1.1	225	172.958	0	0
Solyc06g060270.3.1	3396	3343.96	13	0.983283
Solyc06g072570.3.1	1211	1158.96	229	49.9763
Solyc01g109070.2.1	616	563.958	112	50.2305
Solyc05g041900.1.1	285	232.958	0	0
Solyc01g010050.3.1	1875	1822.96	230	31.9115
Solyc08g061450.2.1	1512	1459.96	1	0.173243
Solyc10g055740.2.1	1711	1658.96	19	2.89677
Solyc01g086900.3.1	3177	3124.96	157	12.7072
Solyc11g007120.2.1	1251	1198.96	149	31.4325
Solyc01g104448.1.1	516	463.958	0	0
Solyc01g060410.3.1	279	226.958	0	0
Solyc02g080470.3.1	3187	3134.96	87	7.01913
Solyc08g045760.1.1	261	208.958	0	0
Solyc11g008720.2.1	2785	2732.96	14	1.29566
Solyc05g051840.1.1	1134	1081.96	36	8.41566
Solyc02g084550.3.1	1100	1047.96	124	29.9277
Solyc04g017965.1.1	300	247.958	0	0
Solyc07g045250.1.1	213	160.958	54	84.8551
Solyc02g092420.3.1	2392	2339.96	30	3.24272
Solyc10g055650.2.1	3037	2984.96	225	19.0652
Solyc07g007290.1.1	1572	1519.96	1	0.166404
Solyc06g068930.2.1	1137	1084.96	0	0
Solyc05g009050.3.1	4077	4024.96	33	2.07371
Solyc04g054730.3.1	2506	2453.96	56	5.77187
Solyc03g034201.1.1	498	445.958	0	0
Solyc06g007165.1.1	2062	2009.96	3	0.377512
Solyc03g013630.3.1	2749	2696.96	41	3.84508
