target_id	length	eff_length	est_counts	tpm
Solyc11g006650.2.1	2753	2700.96	54	2.46523
Solyc10g008330.3.1	689	636.958	0	0
Solyc10g036640.2.1	240	187.958	0	0
Solyc11g063580.2.1	291	238.958	0	0
Solyc01g111080.3.1	23222	23170	889.223	4.73225
Solyc04g071540.3.1	3007	2954.96	85	3.54691
Solyc12g062470.2.1	485	432.958	2.92048	0.831747
Solyc06g050840.3.1	977	924.958	246	32.7941
Solyc10g009530.3.1	1365	1312.96	10.3456	0.9716
Solyc07g052480.3.1	3041	2988.96	447.289	18.4523
Solyc01g008410.2.1	2163	2110.96	0	0
Solyc11g072650.2.1	1699	1646.96	0	0
Solyc01g101080.2.1	666	613.958	0	0
Solyc06g011490.3.1	1249	1196.96	157	16.1735
Solyc09g020130.3.1	1655	1602.96	1213.53	93.3488
Solyc11g012600.2.1	1028	975.958	16	2.02149
Solyc03g096645.1.1	4058	4005.96	0.00979624	0.000301533
Solyc02g070420.2.1	1007	954.958	60	7.74728
Solyc01g090710.3.1	1946	1893.96	102	6.64067
Solyc05g013230.2.1	342	289.958	0	0
Solyc11g028080.2.1	685	632.958	0	0
Solyc03g032030.3.1	1722	1669.96	111	8.19595
Solyc06g053950.2.1	645	592.958	60	12.477
Solyc12g009050.2.1	2268	2215.96	55.813	3.10567
Solyc09g015100.3.1	446	393.958	0	0
Solyc08g061740.2.1	261	208.958	0	0
Solyc07g008020.3.1	817	764.958	1407	226.798
Solyc07g005470.3.1	2223	2170.96	33	1.87432
Solyc12g042880.2.1	1074	1021.96	0	0
Solyc07g066275.1.1	1327	1274.96	0	0
Solyc01g017410.2.1	501	448.958	0	0
Solyc02g014490.3.1	2997	2944.96	5	0.20935
Solyc07g014585.1.1	1067	1014.96	32.8879	3.9955
Solyc08g059780.2.1	1452	1399.96	135	11.8905
Solyc02g080590.3.1	821	768.958	900	144.318
Solyc01g066580.2.1	135	83.1673	0	0
Solyc02g089930.3.1	2658	2605.96	121	5.72532
Solyc04g081560.3.1	2712	2659.96	15	0.695342
Solyc12g010740.2.1	949	896.958	1	0.137471
Solyc09g030420.3.1	357	304.958	6	2.42602
Solyc09g056430.3.1	1825	1772.96	41	2.85146
Solyc07g009280.3.1	518	465.958	0	0
Solyc07g032670.2.1	1243	1190.96	13	1.34595
Solyc04g018000.2.1	1215	1162.96	0	0
Solyc01g057490.3.1	442	389.958	8	2.52961
Solyc04g006990.3.1	1321	1268.96	66	6.41326
Solyc04g009900.3.1	1390	1337.96	287	26.4497
Solyc02g021063.1.1	1655	1602.96	39	3.00002
Solyc04g072470.3.1	508	455.958	17	4.59734
Solyc06g082020.3.1	489	436.958	3	0.846572
Solyc11g072800.2.1	4144	4091.96	0	0
Solyc08g080110.3.1	2880	2827.96	249	10.857
Solyc08g074680.2.1	5534	5481.96	16	0.359887
Solyc00g005850.2.1	566	513.958	0	0
Solyc12g009745.1.1	2898	2845.96	3	0.129979
Solyc10g008210.3.1	4197	4144.96	2	0.0594966
Solyc06g072480.1.1	516	463.958	0	0
Solyc09g057715.1.1	519	466.958	0	0
Solyc05g015710.3.1	1126	1073.96	469	53.8478
Solyc12g097070.2.1	1320	1267.96	46	4.47337
Solyc12g019340.1.1	183	130.958	0	0
Solyc05g006260.1.1	183	130.958	0	0
Solyc01g067380.3.1	1781	1728.96	108	7.70232
Solyc12g042120.2.1	508	455.958	286.947	77.5996
Solyc07g006800.1.1	1362	1309.96	0	0
Solyc09g009280.1.1	885	832.958	3	0.444099
Solyc06g005070.2.1	2155	2102.96	31	1.81766
Solyc11g066760.2.1	2304	2251.96	6	0.328528
Solyc06g071540.3.1	3375	3322.96	22	0.816356
Solyc09g065150.1.1	150	98.0023	67.9403	85.4817
Solyc10g081230.2.1	1185	1132.96	0	0
Solyc01g106390.3.1	2020	1967.96	167	10.4636
Solyc09g007080.3.1	5868	5815.96	72.8758	1.54505
Solyc11g066500.2.1	3576	3523.96	330	11.5469
Solyc01g102637.1.1	282	229.958	0	0
Solyc03g060510.3.1	1738	1685.96	245	17.9185
Solyc11g066460.1.1	651	598.958	49	10.0875
Solyc06g082800.3.1	1406	1353.96	235	21.4015
Solyc01g105290.3.1	1594	1541.96	933	74.609
Solyc08g062965.1.1	528	475.958	0	0
Solyc03g058900.2.1	501	448.958	0	0
Solyc11g011542.1.1	477	424.958	0	0
Solyc03g007860.1.1	558	505.958	150	36.556
Solyc06g048620.3.1	4542	4489.96	72	1.9773
Solyc03g006490.3.1	1155	1102.96	35	3.91283
Solyc11g017373.1.1	738	685.958	0	0
Solyc09g060100.3.1	5908	5855.96	162.322	3.41792
Solyc03g006950.2.1	2238	2185.96	0	0
Solyc03g114300.3.1	2676	2623.96	168	7.89468
Solyc02g011755.1.1	321	268.958	0	0
Solyc11g010105.1.1	741	688.958	0	0
Solyc09g092080.3.1	862	809.958	531.593	80.928
Solyc05g055160.3.1	2243	2190.96	5669	319.047
Solyc06g053780.3.1	2021	1968.96	108	6.76347
Solyc07g055920.3.1	1156	1103.96	11	1.22863
Solyc02g062040.3.1	1448	1395.96	278.289	24.5813
Solyc05g046390.3.1	754	701.958	2416	424.393
Solyc09g042300.2.1	2512	2459.96	0	0
Solyc03g044600.2.1	1206	1153.96	705.057	75.3384
Solyc11g067270.1.1	1293	1240.96	3	0.298089
Solyc09g083370.3.1	1089	1036.96	154.662	18.3909
Solyc09g018235.1.1	789	736.958	0	0
Solyc03g115845.1.1	300	247.958	0	0
Solyc07g065280.3.1	693	640.958	1432	275.483
Solyc10g018885.1.1	357	304.958	2	0.808672
Solyc10g051050.2.1	2773	2720.96	22	0.996972
Solyc03g007680.3.1	1191	1138.96	343	37.1337
Solyc03g115800.1.1	1281	1228.96	0	0
Solyc05g005910.3.1	1815	1762.96	2	0.139885
Solyc07g032300.1.1	213	160.958	0	0
Solyc01g091860.3.1	3645	3592.96	116	3.98096
Solyc12g098660.2.1	1485	1432.96	219	18.8448
Solyc04g057890.3.1	4289	4236.96	820.929	23.8909
Solyc06g008960.3.1	4420	4367.96	126	3.55692
Solyc02g030520.1.1	69	29.752	0	0
Solyc10g044967.1.1	720	667.958	0	0
Solyc07g026705.1.1	641	588.958	1	0.209362
Solyc07g039384.1.1	453	400.958	0	0
Solyc08g005440.3.1	3192	3139.96	164	6.44024
Solyc01g005610.3.1	1068	1015.96	4	0.485474
Solyc04g050345.1.1	390	337.958	0	0
Solyc10g086290.2.1	1363	1310.96	0	0
Solyc12g035860.1.1	315	262.958	0	0
Solyc05g016473.1.1	3230	3177.96	0	0
Solyc02g088954.1.1	675	622.958	0	0
Solyc08g082330.3.1	484	431.958	16	4.56731
Solyc05g026050.3.1	1505	1452.96	314	26.6476
Solyc10g050630.1.1	315	262.958	0	0
Solyc07g039540.1.1	246	193.958	0	0
Solyc01g096185.1.1	435	382.958	0	0
Solyc07g021740.2.1	811	758.958	0	0
Solyc02g062375.1.1	3217	3164.96	294	11.4541
Solyc12g009620.2.1	1820	1767.96	476	33.1984
Solyc05g012170.2.1	783	730.958	0	0
