target_id	length	eff_length	est_counts	tpm
Solyc06g064740.3.1	358	305.958	2.33918	1.07848
Solyc02g062260.2.1	226	173.958	0	0
Solyc11g006650.2.1	2753	2700.96	45	2.35019
Solyc10g008330.3.1	689	636.958	1	0.221461
Solyc10g036640.2.1	240	187.958	0	0
Solyc11g063580.2.1	291	238.958	0	0
Solyc01g111080.3.1	23222	23170	571.146	3.47721
Solyc04g071540.3.1	3007	2954.96	53	2.53008
Solyc12g062470.2.1	485	432.958	4.47861	1.45917
Solyc06g050840.3.1	977	924.958	204	31.1112
Solyc10g009530.3.1	1365	1312.96	25.4958	2.73922
Solyc07g052480.3.1	3041	2988.96	767.774	36.2345
Solyc01g008410.2.1	2163	2110.96	0	0
Solyc11g072650.2.1	1699	1646.96	0	0
Solyc01g101080.2.1	666	613.958	0	0
Solyc06g011490.3.1	1249	1196.96	97	11.4315
Solyc09g020130.3.1	1655	1602.96	778	68.4646
Solyc11g012600.2.1	1028	975.958	17.4708	2.52517
Solyc03g096645.1.1	4058	4005.96	0.00987277	0.000347649
Solyc02g070420.2.1	1007	954.958	64	9.45376
Solyc01g090710.3.1	1946	1893.96	48	3.57503
Solyc05g013230.2.1	342	289.958	0	0
Solyc11g028080.2.1	685	632.958	0	0
Solyc03g032030.3.1	1722	1669.96	30	2.5341
Solyc06g053950.2.1	645	592.958	51	12.1326
Solyc12g009050.2.1	2268	2215.96	40	2.54629
Solyc09g015100.3.1	446	393.958	0	0
Solyc08g061740.2.1	261	208.958	0	0
Solyc07g008020.3.1	817	764.958	1178	217.228
Solyc07g005470.3.1	2223	2170.96	33	2.14423
Solyc12g042880.2.1	1074	1021.96	4	0.552123
Solyc07g066275.1.1	1327	1274.96	0	0
Solyc01g017410.2.1	501	448.958	0	0
Solyc02g014490.3.1	2997	2944.96	4	0.191597
Solyc07g014585.1.1	1067	1014.96	9	1.25084
Solyc08g059780.2.1	1452	1399.96	138	13.9051
Solyc02g080590.3.1	821	768.958	677	124.192
Solyc01g066580.2.1	135	83.1673	0	0
Solyc02g089930.3.1	2658	2605.96	59	3.1937
Solyc04g081560.3.1	2712	2659.96	5	0.265158
Solyc12g010740.2.1	949	896.958	2	0.314533
Solyc09g030420.3.1	357	304.958	4	1.85024
Solyc09g056430.3.1	1825	1772.96	25	1.98907
Solyc07g009280.3.1	518	465.958	0	0
Solyc07g032670.2.1	1243	1190.96	27	3.19798
Solyc04g018000.2.1	1215	1162.96	0	0
Solyc01g057490.3.1	442	389.958	8	2.89389
Solyc04g006990.3.1	1321	1268.96	47	5.22468
Solyc04g009900.3.1	1390	1337.96	75	7.90729
Solyc02g021063.1.1	1655	1602.96	41	3.60803
Solyc04g072470.3.1	508	455.958	0	0
Solyc06g082020.3.1	489	436.958	2	0.645653
Solyc11g072800.2.1	4144	4091.96	0	0
Solyc08g080110.3.1	2880	2827.96	179	8.92871
Solyc08g074680.2.1	5534	5481.96	9	0.231588
Solyc00g005850.2.1	566	513.958	0	0
Solyc12g009745.1.1	2898	2845.96	1	0.0495656
Solyc10g008210.3.1	4197	4144.96	3	0.102096
Solyc06g072480.1.1	516	463.958	1	0.30404
Solyc09g057715.1.1	519	466.958	0	0
Solyc05g015710.3.1	1126	1073.96	226	29.6845
Solyc12g097070.2.1	1320	1267.96	29	3.22628
Solyc12g019340.1.1	183	130.958	0	0
Solyc05g006260.1.1	183	130.958	0	0
Solyc01g067380.3.1	1781	1728.96	75	6.11907
Solyc12g042120.2.1	508	455.958	195	60.328
Solyc07g006800.1.1	1362	1309.96	0	0
Solyc09g009280.1.1	885	832.958	2	0.338701
Solyc06g005070.2.1	2155	2102.96	49	3.28681
Solyc11g066760.2.1	2304	2251.96	4	0.250558
Solyc06g071540.3.1	3375	3322.96	9	0.382056
Solyc09g065150.1.1	150	98.0023	97.1384	139.818
Solyc10g081230.2.1	1185	1132.96	0	0
Solyc01g106390.3.1	2020	1967.96	84	6.02105
Solyc09g007080.3.1	5868	5815.96	42.315	1.02632
Solyc11g066500.2.1	3576	3523.96	232	9.2868
Solyc01g102637.1.1	282	229.958	0	0
Solyc03g060510.3.1	1738	1685.96	141	11.7973
Solyc11g066460.1.1	651	598.958	46	10.8335
Solyc06g082800.3.1	1406	1353.96	139	14.4817
Solyc01g105290.3.1	1594	1541.96	561	51.3215
Solyc08g062965.1.1	528	475.958	0	0
Solyc03g058900.2.1	501	448.958	0	0
Solyc11g011542.1.1	477	424.958	1	0.331943
Solyc03g007860.1.1	558	505.958	171	47.675
Solyc06g048620.3.1	4542	4489.96	90	2.82754
Solyc03g006490.3.1	1155	1102.96	29	3.70892
Solyc11g017373.1.1	738	685.958	0	0
Solyc09g060100.3.1	5908	5855.96	96.8769	2.33362
Solyc03g006950.2.1	2238	2185.96	0	0
Solyc03g114300.3.1	2676	2623.96	117	6.28981
Solyc02g011755.1.1	321	268.958	0	0
Solyc11g010105.1.1	741	688.958	0	0
Solyc09g092080.3.1	862	809.958	197.369	34.3736
Solyc05g055160.3.1	2243	2190.96	3987	256.697
Solyc06g053780.3.1	2021	1968.96	112	8.02399
Solyc07g055920.3.1	1156	1103.96	9	1.15
Solyc02g062040.3.1	1448	1395.96	203	20.5132
Solyc05g046390.3.1	754	701.958	2330	468.224
Solyc09g042300.2.1	2512	2459.96	1.24934	0.0716412
Solyc03g044600.2.1	1206	1153.96	966.619	118.161
Solyc11g067270.1.1	1293	1240.96	0	0
Solyc09g083370.3.1	1089	1036.96	128.176	17.4364
Solyc09g018235.1.1	789	736.958	0	0
Solyc03g115845.1.1	300	247.958	0	0
Solyc07g065280.3.1	693	640.958	1149	252.871
