target_id	length	eff_length	est_counts	tpm
Solyc03g006950.2.1	2238	2185.96	0	0
Solyc03g114300.3.1	2676	2623.96	30	11.1686
Solyc02g011755.1.1	321	268.958	0	0
Solyc11g010105.1.1	741	688.958	0	0
Solyc09g092080.3.1	862	809.958	57.1357	68.9098
Solyc05g055160.3.1	2243	2190.96	412	183.696
Solyc06g053780.3.1	2021	1968.96	18	8.93042
Solyc07g055920.3.1	1156	1103.96	102	90.2576
Solyc02g062040.3.1	1448	1395.96	22	15.3952
Solyc05g046390.3.1	754	701.958	773	1075.73
Solyc09g042300.2.1	2512	2459.96	0	0
Solyc03g044600.2.1	1206	1153.96	24	20.3169
Solyc11g067270.1.1	1293	1240.96	0	0
Solyc09g083370.3.1	1089	1036.96	101.627	95.7375
Solyc09g018235.1.1	789	736.958	0	0
Solyc03g115845.1.1	300	247.958	0	0
Solyc07g065280.3.1	693	640.958	273	416.073
Solyc10g018885.1.1	357	304.958	0	0
Solyc10g051050.2.1	2773	2720.96	0	0
Solyc03g007680.3.1	1191	1138.96	76	65.1841
Solyc03g115800.1.1	1281	1228.96	0	0
Solyc05g005910.3.1	1815	1762.96	2	1.10821
Solyc07g032300.1.1	213	160.958	0	0
Solyc01g091860.3.1	3645	3592.96	32	8.70029
Solyc12g098660.2.1	1485	1432.96	6	4.09029
Solyc04g057890.3.1	4289	4236.96	51.3819	11.8465
Solyc06g008960.3.1	4420	4367.96	10	2.23644
Solyc02g030520.1.1	69	29.752	0	0
Solyc10g044967.1.1	720	667.958	0	0
Solyc07g026705.1.1	641	588.958	0	0
Solyc07g039384.1.1	453	400.958	0	0
Solyc08g005440.3.1	3192	3139.96	31	9.64437
Solyc01g005610.3.1	1068	1015.96	0	0
Solyc04g050345.1.1	390	337.958	0	0
Solyc10g086290.2.1	1363	1310.96	0	0
Solyc12g035860.1.1	315	262.958	0	0
Solyc05g016473.1.1	3230	3177.96	0	0
Solyc02g088954.1.1	675	622.958	0.252563	0.396047
Solyc08g082330.3.1	484	431.958	3	6.78447
Solyc05g026050.3.1	1505	1452.96	31	20.8422
Solyc10g050630.1.1	315	262.958	0	0
Solyc07g039540.1.1	246	193.958	0	0
Solyc01g096185.1.1	435	382.958	0	0
Solyc07g021740.2.1	811	758.958	0	0
Solyc02g062375.1.1	3217	3164.96	23	7.09898
Solyc12g009620.2.1	1820	1767.96	48	26.5219
Solyc05g012170.2.1	783	730.958	0	0
Solyc01g103803.1.1	699	646.958	0	0
Solyc12g087900.2.1	1377	1324.96	0	0
Solyc09g090660.3.1	2092	2039.96	132.285	63.3469
Solyc02g081700.1.1	747	694.958	153	215.065
Solyc08g079580.1.1	447	394.958	0	0
Solyc04g057880.3.1	6172	6119.96	8.61812	1.37562
Solyc05g021090.3.1	1542	1489.96	0	0
Solyc06g082000.3.1	2271	2218.96	0	0
Solyc11g045540.1.1	447	394.958	0	0
Solyc10g084360.1.1	165	112.965	0	0
Solyc03g062745.1.1	441	388.958	0	0
Solyc04g050550.2.1	2358	2305.96	0	0
Solyc05g024454.1.1	521	468.958	0	0
Solyc09g016957.1.1	339	286.958	0	0
Solyc09g060170.1.1	1035	982.958	0	0
Solyc05g055790.3.1	2662	2609.96	1.00116	0.374718
Solyc01g096255.1.1	405	352.958	0	0
Solyc05g054170.3.1	4313	4260.96	63	14.4434
Solyc01g005730.3.1	3708	3655.96	2	0.534398
Solyc10g018355.1.1	780	727.958	0	0
Solyc08g076830.1.1	1026	973.958	0	0
Solyc10g045040.1.1	225	172.958	0	0
Solyc03g081203.1.1	183	130.958	2	14.9188
Solyc02g085700.2.1	2892	2839.96	18	6.19151
Solyc12g008580.2.1	2991	2938.96	29	9.63919
Solyc08g014290.1.1	1188	1135.96	18	15.4791
Solyc01g102970.3.1	2799	2746.96	32	11.3798
Solyc08g044540.1.1	225	172.958	0	0
Solyc06g060270.3.1	3396	3343.96	9	2.62916
Solyc06g072570.3.1	1211	1158.96	108	91.0316
Solyc01g109070.2.1	616	563.958	42	72.7509
Solyc05g041900.1.1	285	232.958	0	0
Solyc01g010050.3.1	1875	1822.96	143	76.6294
Solyc08g061450.2.1	1512	1459.96	1	0.669107
Solyc10g055740.2.1	1711	1658.96	19	11.188
Solyc01g086900.3.1	3177	3124.96	26	8.12765
Solyc11g007120.2.1	1251	1198.96	69	56.2187
Solyc01g104448.1.1	516	463.958	0	0
Solyc01g060410.3.1	279	226.958	0	0
Solyc02g080470.3.1	3187	3134.96	31	9.65975
Solyc08g045760.1.1	261	208.958	0	0
Solyc11g008720.2.1	2785	2732.96	5	1.7872
Solyc05g051840.1.1	1134	1081.96	11	9.93158
Solyc02g084550.3.1	1100	1047.96	153	142.621
Solyc04g017965.1.1	300	247.958	0	0
Solyc07g045250.1.1	213	160.958	12	72.8292
Solyc02g092420.3.1	2392	2339.96	45	18.7863
Solyc10g055650.2.1	3037	2984.96	108	35.3445
Solyc07g007290.1.1	1572	1519.96	0	0
Solyc06g068930.2.1	1137	1084.96	0	0
Solyc05g009050.3.1	4077	4024.96	0	0
Solyc04g054730.3.1	2506	2453.96	2	0.796157
Solyc03g034201.1.1	498	445.958	0	0
Solyc06g007165.1.1	2062	2009.96	0	0
Solyc03g013630.3.1	2749	2696.96	23	8.33085
Solyc03g112200.1.1	756	703.958	1	1.38768
Solyc02g083630.3.1	2225	2172.96	34	15.2849
Solyc02g092810.3.1	868	815.958	2	2.39441
Solyc10g082060.1.1	759	706.958	0	0
Solyc01g087570.2.1	548	495.958	87	171.36
Solyc09g063140.3.1	2272	2219.96	5.94797	2.61734
Solyc01g060210.3.1	456	403.958	0	0
Solyc02g069515.1.1	1210	1157.96	14	11.8106
Solyc02g070210.3.1	1637	1584.96	44	27.1188
Solyc09g008950.1.1	828	775.958	0	0
Solyc03g116390.3.1	617	564.958	0	0
Solyc06g071340.1.1	96	47.7815	0	0
Solyc11g017470.2.1	1385	1332.96	76	55.6972
Solyc02g030630.1.1	921	868.958	0	0
Solyc08g083175.1.1	396	343.958	0	0
Solyc08g048250.3.1	1857	1804.96	52	28.1431
Solyc12g032937.1.1	345	292.958	0	0
Solyc09g009190.3.1	2730	2677.96	1	0.364781
Solyc12g006870.2.1	1232	1179.96	109	90.2393
Solyc07g008350.3.1	1670	1617.96	71	42.8674
Solyc08g068640.3.1	5247	5194.96	5.55313	1.04422
Solyc02g021520.1.1	279	226.958	0	0
Solyc09g007250.3.1	1648	1595.96	589	360.52
Solyc12g087870.2.1	1737	1684.96	0	0
Solyc03g058213.1.1	309	256.958	0	0
Solyc02g079280.3.1	1274	1221.96	0	0
Solyc08g008630.3.1	1303	1250.96	35	27.3314
Solyc06g005310.3.1	1358	1305.96	0	0
Solyc12g049120.2.1	1332	1279.96	0	0
Solyc09g072940.2.1	858	805.958	0	0
Solyc08g075540.3.1	2634	2581.96	8	3.02675
Solyc09g091510.3.1	1452	1399.96	310	216.313
Solyc04g016177.1.1	1251	1198.96	1	0.814764
Solyc03g120050.3.1	1594	1541.96	5.71188	3.61861
Solyc05g018453.1.1	867	814.958	0	0
Solyc07g065320.3.1	4946	4893.96	10	1.99607
Solyc05g013560.3.1	448	395.958	8	19.7368
Solyc01g108380.2.1	1059	1006.96	0	0
Solyc06g035943.1.1	780	727.958	0	0
Solyc08g006251.1.1	678	625.958	0	0
Solyc05g025810.3.1	1306	1253.96	10	7.79028
Solyc03g115350.2.1	507	454.958	0	0
Solyc12g011190.2.1	1418	1365.96	12	8.58183
Solyc11g071423.1.1	2259	2206.96	0	0
Solyc10g045555.1.1	393	340.958	0	0
Solyc08g080585.1.1	714	661.958	3	4.42718
Solyc02g005115.1.1	550	497.958	17.6939	34.7111
Solyc02g086660.3.1	3546	3493.96	0	0
Solyc04g070987.1.1	535	482.958	158	319.583
Solyc03g096193.1.1	399	346.958	0	0
Solyc10g074520.2.1	1668	1615.96	1	0.604513
Solyc02g065360.3.1	2862	2809.96	16	5.56232
Solyc01g020570.2.1	1065	1012.96	0	0
Solyc02g076790.3.1	1037	984.958	37	36.6961
Solyc03g080115.1.1	945	892.958	0	0
Solyc03g005470.3.1	839	786.958	133	165.096
Solyc05g047540.3.1	4664	4611.96	10.252	2.17151
Solyc11g020471.1.1	882	829.958	0	0
Solyc05g005770.3.1	1621	1568.96	52	32.3764
Solyc03g044420.2.1	1271	1218.96	0	0
Solyc06g072135.1.1	1409	1356.96	16	11.5183
Solyc04g054760.3.1	876	823.958	5	5.9279
Solyc05g014177.1.1	448	395.958	0	0
Solyc03g111705.1.1	792	739.958	0	0
Solyc07g015850.1.1	507	454.958	0	0
Solyc03g063290.3.1	850	797.958	31.5097	38.5745
Solyc09g020190.3.1	2061	2008.96	47	22.854
Solyc11g008340.2.1	3580	3527.96	48	13.2909
Solyc12g019777.1.1	477	424.958	0	0
Solyc09g082740.1.1	288	235.958	0	0
Solyc03g051820.1.1	411	358.958	0	0
Solyc01g108820.1.1	768	715.958	0	0
Solyc09g008917.1.1	192	139.958	0	0
Solyc11g072320.2.1	4765	4712.96	11	2.28
Solyc03g112770.3.1	871	818.958	62	73.9547
Solyc04g054430.2.1	1054	1001.96	29	28.2738
Solyc10g052660.2.1	600	547.958	518.675	924.665
Solyc04g083160.2.1	2894	2841.96	0	0
Solyc02g088510.3.1	1452	1399.96	4	2.79114
Solyc02g086920.2.1	2778	2725.96	78	27.9519
Solyc04g039830.2.1	636	583.958	0	0
Solyc08g062387.1.1	405	352.958	0	0
Solyc03g117720.3.1	1465	1412.96	22	15.21
Solyc04g074165.1.1	420	367.958	8	21.2387
Solyc07g063080.3.1	2851	2798.96	9	3.1411
Solyc11g062195.1.1	489	436.958	0	0
Solyc07g062020.2.1	849	796.958	1	1.22575
Solyc04g050823.1.1	585	532.958	0	0
Solyc01g108080.3.1	384	331.958	0	0
Solyc08g066460.2.1	935	882.958	0	0
Solyc08g006000.3.1	1005	952.958	207	212.194
Solyc03g007825.1.1	885	832.958	0	0
Solyc03g031655.1.1	882	829.958	0	0
Solyc09g066400.2.1	1555	1502.96	0	0
Solyc01g091800.3.1	1494	1441.96	24	16.259
Solyc06g054690.3.1	2403	2350.96	32	13.2966
Solyc12g056673.1.1	810	757.958	0	0
Solyc09g065250.2.1	962	909.958	0	0
Solyc04g049485.1.1	625	572.958	0	0
Solyc09g084460.3.1	645	592.958	431.539	710.939
Solyc02g067925.1.1	7689	7636.96	61.0942	7.81475
Solyc12g006750.1.1	252	199.958	0	0
Solyc03g122240.3.1	3244	3191.96	14	4.28456
Solyc01g109550.2.1	978	925.958	6	6.32989
Solyc06g007920.2.1	490	437.958	0	0
Solyc01g109780.3.1	2980	2927.96	2.84893	0.950503
Solyc06g008460.2.1	390	337.958	0	0
Solyc06g011460.1.1	600	547.958	0	0
Solyc01g081630.3.1	2503	2450.96	13	5.18135
Solyc09g011040.1.1	1290	1237.96	0	0
Solyc01g080080.3.1	1806	1753.96	23	12.8099
Solyc10g081420.2.1	6066	6013.96	1.30104	0.211332
Solyc06g005780.1.1	357	304.958	0	0
Solyc01g094080.3.1	2132	2079.96	1.9923	0.935697
Solyc06g069570.3.1	1494	1441.96	18.1019	12.2633
Solyc01g104590.3.1	2202	2149.96	1093	496.622
Solyc02g067510.3.1	922	869.958	12	13.4747
Solyc12g062920.2.1	195	142.958	11	75.1659
Solyc12g007050.1.1	198	145.958	0	0
Solyc03g026413.1.1	183	130.958	0	0
Solyc09g064220.2.1	438	385.958	0	0
Solyc12g038970.2.1	2016	1963.96	40	19.8959
Solyc07g032745.1.1	1125	1072.96	0	0
Solyc02g078430.3.1	795	742.958	2	2.62967
Solyc10g054040.2.1	1864	1811.96	13	7.0086
Solyc03g121770.2.1	2064	2011.96	3	1.45659
Solyc09g072870.3.1	1463	1410.96	677	468.717
Solyc03g063690.1.1	1791	1738.96	3	1.68526
Solyc11g067200.2.1	4337	4284.96	26	5.92738
Solyc09g055900.3.1	1694	1641.96	0	0
Solyc01g105230.3.1	7135	7082.96	42.7116	5.8907
Solyc03g120475.1.1	919	866.958	5	5.63388
Solyc08g007950.3.1	3366	3313.96	14	4.12683
Solyc06g050185.1.1	204	151.958	0	0
Solyc04g016060.1.1	846	793.958	0	0
Solyc02g062170.3.1	1014	961.958	17.8244	18.1007
Solyc08g076500.3.1	207	154.958	0	0
Solyc08g066190.2.1	2450	2397.96	4	1.6295
Solyc09g007320.3.1	2220	2167.96	0	0
Solyc05g012550.3.1	1211	1158.96	0	0
Solyc06g073033.1.1	438	385.958	0	0
Solyc02g090135.1.1	2374	2321.96	0	0
Solyc06g051060.3.1	1647	1594.96	0	0
Solyc03g007500.3.1	2046	1993.96	24.1735	11.8429
Solyc07g042093.1.1	654	601.958	0	0
Solyc06g076130.3.1	5236	5183.96	8	1.50752
Solyc06g076910.2.1	6763	6710.96	11.8568	1.72591
Solyc12g013870.2.1	1226	1173.96	0	0
Solyc02g081570.3.1	2085	2032.96	8.47961	4.07458
Solyc07g005740.1.1	1431	1378.96	2	1.41682
Solyc02g086850.2.1	2888	2835.96	0	0
Solyc11g011130.2.1	1870	1817.96	111	59.6451
Solyc03g118660.3.1	1672	1619.96	13	7.83927
Solyc05g009890.1.1	1362	1309.96	12	8.9487
Solyc02g030220.1.1	1017	964.958	0	0
Solyc02g069547.1.1	744	691.958	1	1.41174
Solyc09g008940.3.1	1682	1629.96	93	55.7368
Solyc05g006323.1.1	1341	1288.96	0	0
Solyc01g100590.3.1	1474	1421.96	64	43.9672
Solyc11g068810.2.1	709	656.958	59	87.7305
Solyc10g047480.1.1	1443	1390.96	0	0
Solyc01g086970.3.1	585	532.958	5	9.16459
Solyc02g069730.3.1	1243	1190.96	0	0
Solyc09g055235.1.1	561	508.958	0	0
Solyc07g025120.1.1	234	181.958	0	0
Solyc09g097865.1.1	3472	3419.96	27	7.71221
Solyc06g073100.3.1	1203	1150.96	0	0
Solyc10g080045.1.1	1790	1737.96	0	0
Solyc06g060970.2.1	6163	6110.96	15.797	2.52523
Solyc06g066470.3.1	240	187.958	0	0
Solyc03g025340.1.1	1050	997.958	105	102.781
